artifact_type,case_id,path,exists,size_bytes,rows,sha256,notes
pulled_feature_csv,,rivanna_pull/analysis/synthetic_lollipop_v1/synthetic_lollipop_features.csv,True,226887,261,35f2320a27f5395c339a401a0a1233639d08abe072120d76922307eeab18ac7a,Stored synthetic feature table under investigation.
pulled_feature_json,,rivanna_pull/analysis/synthetic_lollipop_v1/synthetic_lollipop_features.json,True,688480,,d2393dfe18f9fbc13e6d2c52058fc48219ac5454de336e92e05eb6579bdf8450,JSON companion to stored synthetic feature table.
pulled_feature_summary,,rivanna_pull/analysis/synthetic_lollipop_v1/synthetic_lollipop_feature_summary.json,True,2074,,a78ba6e33ad0709ab0a62e851481e90715d561520939bf8bee3f718aad2ce371,Stored summary generated with pulled synthetic table.
pulled_manifest,,rivanna_pull/analysis/synthetic_lollipop_v1/manifests/synthetic_lollipop_manifest.csv,True,61148,261,08809ebfce66aad6d76a35672936e85849404c183553249700f6ea4689d85e93,Generation manifest paired with local masks by case_id.
real_targets_manifest,,rivanna_pull/analysis/synthetic_lollipop_v1/manifests/real_single_component_targets.csv,True,4703,261,dbd8d131f238bef7e805dcf6bb7695c6566253727346feea13da6efd911c0d55,Real single-component targets used by the synthetic benchmark.
current_extractor,,scripts/extract_real_tumor_features.py,True,28025,,681fc273340f1a5f9e696df341a270feea8ab6ab115402bbb625717144e72e93,Current local feature extraction code path.
rivanna_pulled_extractor,,rivanna_pull/scripts/extract_real_tumor_features.py,True,28025,,681fc273340f1a5f9e696df341a270feea8ab6ab115402bbb625717144e72e93,Pulled extractor script copy.
current_generator,,scripts/generate_synthetic_lollipop_cohort.py,True,15593,,716070b9fa4cfb8ad01377ed88ab0e0b75c5fa87310ace79a8ebe0d29f094efa,Current local cohort generator; read-only evidence.
rivanna_pulled_generator,,rivanna_pull/scripts/generate_synthetic_lollipop_cohort.py,True,13926,,6efdc3f3b4e161e96f30ad2d0f843aaf786b8bcbc421b7b19b920059c84e5ab9,Pulled generator script copy; read-only evidence.
prior_full_reextract,,analysis/real_vs_synthetic/synthetic_features_reextracted_local.csv,True,224613,261,36364003e57925b8e11a38490a9b50eb1d30b449435dc7fa551ac0964664a5b7,Prior local full re-extraction table in analysis/real_vs_synthetic.
prior_metric_drift,,analysis/real_vs_synthetic/synthetic_pulled_vs_reextracted_metric_drift.csv,True,1436,14,107debdffc82e363ecc5cdc1504f773c912885652a1098045f2a07a38adfd14d,Prior local pulled-vs-reextracted drift summary.
prior_validation_report,,analysis/real_vs_synthetic/LOCAL_VALIDATION_REPORT.md,True,13965,,9905f5ed99a4dbdfc3e74abe6cb5f1be9ee2dd15e60f67fb1943d0197f05820a,Prior morphology validation report.
local_synthetic_mask,126_1_312,rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_1_312_synthetic_lollipop.nii.gz,True,7404,,24765d093ade2920a6b65493d589cb7e4318d7e3d7ca5ecb2dbe6146b5224481,mask_voxels=198; mask_volume_mm3=198; manifest_realized=198; in_pulled_features=True; shape=118x118x118; spacing=1x1x1
local_synthetic_mask,126_2_582,rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_2_582_synthetic_lollipop.nii.gz,True,9624,,774f6da078c3f75c241c11ee15a5c8ab8d63b07712d5b7bec3e1d7c818521dae,mask_voxels=307; mask_volume_mm3=307; manifest_realized=307; in_pulled_features=True; shape=129x129x129; spacing=1x1x1
local_synthetic_mask,126_3_921,rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_3_921_synthetic_lollipop.nii.gz,True,11894,,5d945485297bf413f3a1c22c7b718d1d19682d4825a83acf2d5ef34228943555,mask_voxels=482; mask_volume_mm3=482; manifest_realized=482; in_pulled_features=True; shape=138x138x138; spacing=1x1x1
local_synthetic_mask,126_4_1231,rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_4_1231_synthetic_lollipop.nii.gz,True,12776,,03fd1f2a1352644ffbb4b791319e16c295c5ee99d2c491e3a213e1db751b19bd,mask_voxels=855; mask_volume_mm3=855; manifest_realized=855; in_pulled_features=True; shape=141x141x141; spacing=1x1x1
local_synthetic_mask,126_5_1607,rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_5_1607_synthetic_lollipop.nii.gz,True,37234,,636c3acce0e334a92d4982c9a86ae0eca609f82f6103672d3d420aa65ecabe22,mask_voxels=3396; mask_volume_mm3=3396; manifest_realized=3396; in_pulled_features=True; shape=202x202x202; spacing=1x1x1
local_synthetic_mask,132_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_0_0_synthetic_lollipop.nii.gz,True,51342,,0bab4834eff5087757b174181d6e7fb3aec182cb004db4399b54e1e111ba733b,mask_voxels=7674; mask_volume_mm3=7674; manifest_realized=7674; in_pulled_features=True; shape=224x224x224; spacing=1x1x1
local_synthetic_mask,132_1_148,rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_1_148_synthetic_lollipop.nii.gz,True,51673,,cd383988734a13df3eef4ad1f1fef51eded752aedc478bb20e32a24d336e745a,mask_voxels=10057; mask_volume_mm3=10057; manifest_realized=10057; in_pulled_features=True; shape=224x224x224; spacing=1x1x1
local_synthetic_mask,132_2_232,rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_2_232_synthetic_lollipop.nii.gz,True,51520,,ec15240667441a9a15775129b8b8d84f00e90618d0d31e6515673ad193f3f3f1,mask_voxels=8812; mask_volume_mm3=8812; manifest_realized=8812; in_pulled_features=True; shape=224x224x224; spacing=1x1x1
local_synthetic_mask,137_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/137_0_0_synthetic_lollipop.nii.gz,True,5223,,f7cfdb569004874e153dbc8c9ea58b6be7715295f014cb218825a911fb639587,mask_voxels=91; mask_volume_mm3=91; manifest_realized=91; in_pulled_features=True; shape=105x105x105; spacing=1x1x1
local_synthetic_mask,137_1_571,rivanna_pull/analysis/synthetic_lollipop_v1/masks/137_1_571_synthetic_lollipop.nii.gz,True,6819,,f771a5c066c13d952d8eb8e456c2e11db856aaaffb77baa20d18f218759fde93,mask_voxels=117; mask_volume_mm3=117; manifest_realized=117; in_pulled_features=True; shape=115x115x115; spacing=1x1x1
local_synthetic_mask,137_2_2111,rivanna_pull/analysis/synthetic_lollipop_v1/masks/137_2_2111_synthetic_lollipop.nii.gz,True,6852,,5611030ba79a4330362d5ca5a57046ed9d5eb1575df57c12e9334e72f9ccff9e,mask_voxels=170; mask_volume_mm3=170; manifest_realized=170; in_pulled_features=True; shape=115x115x115; spacing=1x1x1
local_synthetic_mask,140_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/140_0_0_synthetic_lollipop.nii.gz,True,5973,,d1b18e54e59d85945aeb350362d13766fbb5057058c1e8b4125ca074f83d6d12,mask_voxels=96; mask_volume_mm3=96; manifest_realized=96; in_pulled_features=True; shape=110x110x110; spacing=1x1x1
local_synthetic_mask,140_2_780,rivanna_pull/analysis/synthetic_lollipop_v1/masks/140_2_780_synthetic_lollipop.nii.gz,True,5826,,61c00317da636ba6a719622e48c1a87831675a386143b7a0b76f23c1532e0229,mask_voxels=94; mask_volume_mm3=94; manifest_realized=94; in_pulled_features=True; shape=109x109x109; spacing=1x1x1
local_synthetic_mask,169_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/169_0_0_synthetic_lollipop.nii.gz,True,10343,,5e24c9f41ac209097f593d484893bd7f247cb7358d57f4da31461c4828f52f05,mask_voxels=265; mask_volume_mm3=265; manifest_realized=265; in_pulled_features=True; shape=132x132x132; spacing=1x1x1
local_synthetic_mask,169_1_184,rivanna_pull/analysis/synthetic_lollipop_v1/masks/169_1_184_synthetic_lollipop.nii.gz,True,13132,,7e11b0fd3c99944f6d47ca6780fcc61273b96738cf05b4fa2e4d5208cb2cbf4f,mask_voxels=461; mask_volume_mm3=461; manifest_realized=461; in_pulled_features=True; shape=143x143x143; spacing=1x1x1
local_synthetic_mask,170_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/170_0_0_synthetic_lollipop.nii.gz,True,7004,,e556a35327f3e1fdd7bdbe113a678093097059425cc6e3619336e9b956047afc,mask_voxels=132; mask_volume_mm3=132; manifest_realized=132; in_pulled_features=True; shape=116x116x116; spacing=1x1x1
local_synthetic_mask,170_1_176,rivanna_pull/analysis/synthetic_lollipop_v1/masks/170_1_176_synthetic_lollipop.nii.gz,True,2196,,a9a985a53d4e074a73dcd863cbab9ad11b9f6944db5b2b376af544e2eceaebef,mask_voxels=20; mask_volume_mm3=20; manifest_realized=20; in_pulled_features=True; shape=78x78x78; spacing=1x1x1
local_synthetic_mask,170_2_382,rivanna_pull/analysis/synthetic_lollipop_v1/masks/170_2_382_synthetic_lollipop.nii.gz,True,5224,,d5ffbdb7581d4ca0d9ac5078f293bede2ef73bc435668cf9fcb912a924d0ce3e,mask_voxels=78; mask_volume_mm3=78; manifest_realized=78; in_pulled_features=True; shape=105x105x105; spacing=1x1x1
local_synthetic_mask,170_3_732,rivanna_pull/analysis/synthetic_lollipop_v1/masks/170_3_732_synthetic_lollipop.nii.gz,True,4549,,fd313665a147d55004572faab6ce41e79fa900e1ecf6d5e1fdfbeac3c160a073,mask_voxels=69; mask_volume_mm3=69; manifest_realized=69; in_pulled_features=True; shape=100x100x100; spacing=1x1x1
local_synthetic_mask,190_1_150,rivanna_pull/analysis/synthetic_lollipop_v1/masks/190_1_150_synthetic_lollipop.nii.gz,True,7551,,c4c25b7cbfb6dc1d1cf4c594a1ccce4f409271ebe2f112923cb76093ec3b1b9a,mask_voxels=132; mask_volume_mm3=132; manifest_realized=132; in_pulled_features=True; shape=119x119x119; spacing=1x1x1
local_synthetic_mask,190_2_1367,rivanna_pull/analysis/synthetic_lollipop_v1/masks/190_2_1367_synthetic_lollipop.nii.gz,True,4940,,40d3fc6684edc8565565641b4a5832cdad8d2f9f65016e289e4130e64fd94ffd,mask_voxels=82; mask_volume_mm3=82; manifest_realized=82; in_pulled_features=True; shape=103x103x103; spacing=1x1x1
local_synthetic_mask,199_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/199_0_0_synthetic_lollipop.nii.gz,True,8943,,08c54364778ffecd67dd31968fc392eb567ebc13a0e210f0dd36ae82adb6b791,mask_voxels=189; mask_volume_mm3=189; manifest_realized=189; in_pulled_features=True; shape=126x126x126; spacing=1x1x1
local_synthetic_mask,199_2_292,rivanna_pull/analysis/synthetic_lollipop_v1/masks/199_2_292_synthetic_lollipop.nii.gz,True,9872,,14eb9052fef3f2bd8bbce5433075a4a4f8a6cb9ff163486e5fdc91f66291bccd,mask_voxels=301; mask_volume_mm3=301; manifest_realized=301; in_pulled_features=True; shape=130x130x130; spacing=1x1x1
local_synthetic_mask,200_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/200_0_0_synthetic_lollipop.nii.gz,True,9644,,a8864397b56797c237e38dca6faf66e1b0a2d2e1b67e3782903f9d52fe1d9a67,mask_voxels=307; mask_volume_mm3=307; manifest_realized=307; in_pulled_features=True; shape=129x129x129; spacing=1x1x1
local_synthetic_mask,200_1_45,rivanna_pull/analysis/synthetic_lollipop_v1/masks/200_1_45_synthetic_lollipop.nii.gz,True,9861,,39297affafb0bf58551beeafa7343e7f96f29ca2b8535130bd05598bdf46044a,mask_voxels=311; mask_volume_mm3=311; manifest_realized=311; in_pulled_features=True; shape=130x130x130; spacing=1x1x1
local_synthetic_mask,206_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/206_0_0_synthetic_lollipop.nii.gz,True,7389,,f748dc13e46ad5fc9b2abe727a2ad2c1f122d62e1cd79339bef6b458786041fa,mask_voxels=160; mask_volume_mm3=160; manifest_realized=160; in_pulled_features=True; shape=118x118x118; spacing=1x1x1
