case_id,seg_path,failed,failure_reason,voxel_volume_mm3,mask_voxel_count,volume_mm3,connected_component_count,largest_component_voxel_count,largest_component_fraction,component_volume_fraction_largest,component_volume_fraction_second_largest,equivalent_sphere_diameter_mm,max_diameter_bbox_mm,bbox_volume_mm3,bbox_fill_fraction,principal_axis_length_major_mm,principal_axis_length_minor1_mm,principal_axis_length_minor2_mm,principal_axis_sign_aligned,flatness,aspect_ratio_major_to_minor2,elongation_legacy_major_to_minor2,elongation,secondary_axis_ratio,surface_area_mm2,sphericity,compactness,surface_to_volume_ratio,roughness_index,empty_mask,multiple_components,tiny_component_fraction,surface_area_failed,principal_axis_failed,voxel_spacing_mm_x,voxel_spacing_mm_y,voxel_spacing_mm_z,centroid_vox_x,centroid_vox_y,centroid_vox_z,centroid_mm_x,centroid_mm_y,centroid_mm_z,bounding_box_min_vox_x,bounding_box_min_vox_y,bounding_box_min_vox_z,bounding_box_max_vox_x,bounding_box_max_vox_y,bounding_box_max_vox_z,bounding_box_size_vox_x,bounding_box_size_vox_y,bounding_box_size_vox_z,bounding_box_size_mm_x,bounding_box_size_mm_y,bounding_box_size_mm_z,principal_axis_vector_vox_x,principal_axis_vector_vox_y,principal_axis_vector_vox_z,principal_axis_vector_mm_x,principal_axis_vector_mm_y,principal_axis_vector_mm_z,principal_axis_lengths_mm_x,principal_axis_lengths_mm_y,principal_axis_lengths_mm_z
439_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/439_0_0_synthetic_lollipop.nii.gz,False,,1.0,8,8.0,1,8,1.0,1.0,0.0,2.4814019635976,3.0,27.0,0.2962962962962963,2.1213203435596424,2.0,1.414213562373095,False,1.0,1.3693063937629153,1.3693063937629153,1.3693063937629153,0.7302967433402215,17.68483543395996,1.09381303096843,86.42175760813122,2.210604429244995,0.9142330285776805,False,False,False,False,False,1.0,1.0,1.0,33.0,32.875,32.875,33.0,32.875,32.875,32.0,32.0,32.0,34.0,34.0,34.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,2.9277002188455996,2.138089935299395,2.138089935299395
492_1_391,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/492_1_391_synthetic_lollipop.nii.gz,False,,1.0,9,9.0,1,9,1.0,1.0,0.0,2.5807620414842987,3.0,27.0,0.3333333333333333,2.0412414523193148,1.4142135623730947,1.1547005383792512,False,0.8164965809277259,1.4719601443879744,1.4719601443879744,1.201850425154663,0.8320502943378438,19.440126419067383,1.0763331408508956,90.70103347390925,2.1600140465630426,0.9290803767404668,False,False,False,False,False,1.0,1.0,1.0,33.888888888888886,33.888888888888886,34.22222222222222,33.888888888888886,33.888888888888886,34.22222222222222,33.0,33.0,33.0,35.0,35.0,35.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.408248290463863,-0.4082482904638631,0.816496580927726,-0.408248290463863,-0.4082482904638631,0.816496580927726,2.9439202887759484,2.449489742783178,1.9999999999999996
235_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/235_0_0_synthetic_lollipop.nii.gz,False,,1.0,9,9.0,1,9,1.0,1.0,0.0,2.5807620414842987,3.0,27.0,0.3333333333333333,2.041241452319315,1.4142135623730951,1.1547005383792517,False,0.8164965809277261,1.4719601443879746,1.4719601443879746,1.2018504251546633,0.8320502943378435,19.440128326416016,1.0763330352475524,90.70106017103645,2.1600142584906683,0.9290804678962621,False,False,False,False,False,1.0,1.0,1.0,34.77777777777778,34.888888888888886,35.111111111111114,34.77777777777778,34.888888888888886,35.111111111111114,34.0,34.0,34.0,36.0,36.0,36.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.8164965809277261,-0.40824829046386296,0.408248290463863,-0.8164965809277261,-0.40824829046386296,0.408248290463863,2.9439202887759492,2.449489742783178,2.0
301_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/301_0_0_synthetic_lollipop.nii.gz,False,,1.0,12,12.0,1,12,1.0,1.0,0.0,2.840496169229977,3.0,27.0,0.4444444444444444,2.333333333333333,2.121320343559643,1.4142135623730951,False,0.9428090415820635,1.224744871391589,1.224744871391589,1.1547005383792517,0.8660254037844385,24.2685546875,1.0444661650655158,99.25885156425001,2.0223795572916665,0.9574268975359995,False,False,False,False,False,1.0,1.0,1.0,35.916666666666664,36.083333333333336,36.333333333333336,35.916666666666664,36.083333333333336,36.333333333333336,35.0,35.0,35.0,37.0,37.0,37.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.6666666666666667,0.6666666666666667,-0.3333333333333333,-0.6666666666666666,0.6666666666666666,-0.33333333333333326,2.9541957835039856,2.558408596267325,2.412090756622109
434_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/434_0_0_synthetic_lollipop.nii.gz,False,,1.0,106,106.0,1,106,1.0,1.0,0.0,5.871770611970456,6.0,180.0,0.5888888888888889,5.311348980539034,5.097775649990719,4.586863405366613,False,0.942207625403368,1.2166289345941446,1.2166289345941446,1.1463170594609784,0.8723589967946741,111.47822570800781,0.9716234475796814,123.29867597524806,1.0516813746038474,1.029205298092594,False,False,False,False,False,1.0,1.0,1.0,55.471698113207545,55.91509433962264,56.0377358490566,55.471698113207545,55.91509433962264,56.0377358490566,53.0,53.0,54.0,58.0,58.0,58.0,6.0,6.0,5.0,6.0,6.0,5.0,-0.9938128529799833,-0.11056025180605639,0.010603960220948325,-0.9938128529799833,-0.11056025180605639,0.010603960220948325,5.8568142184308485,5.109244576003118,4.813969199560936
593_3_2370,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/593_3_2370_synthetic_lollipop.nii.gz,False,,1.0,109,109.0,1,109,1.0,1.0,0.0,5.926650153721812,6.0,180.0,0.6055555555555555,5.785512198207426,5.133269029748667,4.787469378615063,False,0.9532885712647288,1.178353962454935,1.178353962454935,1.1233113653127969,0.8902251244663053,115.67645263671875,0.9539453480122162,130.2812419676033,1.0612518590524656,1.0482780822651425,False,False,False,False,False,1.0,1.0,1.0,54.972477064220186,54.77064220183486,54.48623853211009,54.972477064220186,54.77064220183486,54.48623853211009,53.0,52.0,52.0,57.0,57.0,57.0,5.0,6.0,6.0,5.0,6.0,6.0,0.08651657986150263,0.3373244786906109,0.9374044364548185,0.08651657986150263,0.3373244786906109,0.9374044364548185,5.8246276733578926,5.185229895484916,4.943020398745975
434_1_160,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/434_1_160_synthetic_lollipop.nii.gz,False,,1.0,278,278.0,1,278,1.0,1.0,0.0,8.097458381330195,9.0,504.0,0.5515873015873016,8.474401884049122,7.048634665762222,6.188186390579144,False,0.9940192251561681,1.2383129619836246,1.2383129619836246,1.2309068909718022,0.8124091329202805,224.7103729248047,0.9166936042170549,146.81815751324325,0.8083106939741176,1.0908770339399245,False,False,False,False,False,1.0,1.0,1.0,65.13309352517986,65.9748201438849,65.8273381294964,65.13309352517986,65.9748201438849,65.8273381294964,61.0,63.0,62.0,69.0,69.0,69.0,9.0,7.0,8.0,9.0,7.0,8.0,-0.9772781436464103,-0.024586279526831668,-0.21053015178366938,-0.9772781436464103,-0.024586279526831668,-0.21053015178366938,8.349532563064871,6.783236509849179,6.742667499571311
595_3_1268,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/595_3_1268_synthetic_lollipop.nii.gz,False,,1.0,645,645.0,1,645,1.0,1.0,0.0,10.71980858984289,13.0,1287.0,0.5011655011655012,13.268117394265365,9.010811185223641,8.987820363218574,False,0.9832895448112153,1.4285232684608598,1.4285232684608598,1.4046519943971085,0.7119201083177976,399.93548583984375,0.902680361021892,153.76248590192588,0.6200550168059593,1.1078118492219504,False,False,False,False,False,1.0,1.0,1.0,68.24031007751938,70.08992248062016,69.14418604651163,68.24031007751938,70.08992248062016,69.14418604651163,63.0,64.0,65.0,73.0,76.0,73.0,11.0,13.0,9.0,11.0,13.0,9.0,-0.576632614490669,0.8098757231774497,0.10768537929291228,-0.576632614490669,0.8098757231774497,0.10768537929291228,12.144445282839223,8.645874801218467,8.501398297784863
304_1_206,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/304_1_206_synthetic_lollipop.nii.gz,False,,1.0,648,648.0,1,648,1.0,1.0,0.0,10.736402747275793,13.0,1430.0,0.45314685314685316,13.414101070935622,9.149205181521587,9.067758999533151,False,0.987023778007352,1.4120282216577689,1.4120282216577689,1.3937054299936535,0.7175117341722301,403.95904541015625,0.8964583658914643,156.98638903126655,0.6233935885959201,1.1155007728725592,False,False,False,False,False,1.0,1.0,1.0,66.79320987654322,65.96141975308642,67.87654320987654,66.79320987654322,65.96141975308642,67.87654320987654,62.0,60.0,63.0,71.0,72.0,73.0,10.0,13.0,11.0,10.0,13.0,11.0,-0.15763163454370815,-0.7639681608597831,0.6257035376147394,-0.15763163454370815,-0.7639681608597831,0.6257035376147394,12.086111484030242,8.671926810305445,8.559397962910925
132_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_0_0_synthetic_lollipop.nii.gz,False,,1.0,7674,7674.0,1,7674,1.0,1.0,0.0,24.47227762531871,28.0,18928.0,0.40543110735418425,33.2645323626799,21.174260390370797,20.879809403710787,False,0.9980990678412075,1.5399791584248717,1.5399791584248717,1.5370517625187516,0.650596176644897,2248.80419921875,0.8366561559054335,193.11292455169553,0.2930419858247003,1.1952341388294634,False,False,False,False,False,1.0,1.0,1.0,110.42572322126661,109.91217096690123,110.36929893145687,110.42572322126661,109.91217096690123,110.36929893145687,98.0,97.0,98.0,123.0,124.0,123.0,26.0,28.0,26.0,26.0,28.0,26.0,-0.5212605881006578,-0.673585770209123,-0.5239939021255294,-0.5212605881006578,-0.673585770209123,-0.5239939021255294,29.359923210173765,19.10145378712682,19.065143219343184
