feature,n_cases,changed_cases,median_abs_difference,max_abs_difference,median_relative_difference,pattern_class
bbox_volume_mm3,12,12,741.5,45618.0,-0.6841006380379202,systematic/bbox-related
compactness,12,12,319.59436784215984,361.11354780575186,-0.651003433199687,feature-specific/surface-related
surface_area_mm2,12,12,80.94208526611328,1189.150390625,-0.31427191955893896,feature-specific/surface-related
largest_component_voxel_count,12,12,31.5,211.0,-0.01072402736643353,case-specific
mask_voxel_count,12,12,31.5,211.0,-0.01072402736643353,case-specific
volume_mm3,12,12,31.5,211.0,-0.01072402736643353,case-specific
max_diameter_bbox_mm,12,12,7.5,24.0,-0.4852941176470588,systematic/bbox-related
principal_axis_length_major_mm,12,12,7.304879705116273,21.004566742660643,-0.5075414682835763,systematic/PCA-related
bounding_box_size_mm_x,12,12,5.5,30.0,-0.5045454545454545,case-specific
bounding_box_size_vox_x,12,12,5.5,30.0,-0.5045454545454545,case-specific
bounding_box_size_mm_y,12,12,2.5,24.0,-0.25,case-specific
bounding_box_size_vox_y,12,12,2.5,24.0,-0.25,case-specific
bounding_box_size_mm_z,12,12,2.0,6.0,-0.225,case-specific
bounding_box_size_vox_z,12,12,2.0,6.0,-0.225,case-specific
principal_axis_length_minor1_mm,12,12,1.9657228940891875,10.211032175733983,-0.3029052363489796,systematic/PCA-related
principal_axis_length_minor2_mm,12,12,1.8800631138977577,6.365750244474057,-0.22444193714638577,systematic/PCA-related
aspect_ratio_major_to_minor2,12,12,1.2722804047186433,1.5061882012155905,-0.4787838528522662,systematic/PCA-related
elongation_legacy_major_to_minor2,12,12,1.2722804047186433,1.5061882012155905,-0.4787838528522662,systematic/PCA-related
elongation,12,12,1.1835668554404597,1.4048409306924847,-0.47685983405542637,systematic/PCA-related
roughness_index,12,12,0.49515621716093794,0.5427375910911987,-0.2959478055691267,feature-specific/surface-related
surface_to_volume_ratio,12,12,0.37250073558480146,0.5163809134589838,-0.2934026725691894,feature-specific/surface-related
secondary_axis_ratio,12,12,0.36860909050553126,0.494126530766406,0.9140699943415442,systematic/PCA-related
bbox_fill_fraction,12,12,0.289204864175187,0.4234519448805163,1.5827306383456117,systematic/bbox-related
sphericity,12,12,0.2810213045764252,0.3254160275621911,0.4203564201218588,feature-specific/surface-related
equivalent_sphere_diameter_mm,12,12,0.2008290371357866,1.8313077074718072,-0.0035984518396220077,case-specific
flatness,12,12,0.0688369353967242,0.14230900622667308,0.05423729543301964,systematic/PCA-related
component_volume_fraction_largest,12,0,0.0,0.0,0.0,constant
component_volume_fraction_second_largest,12,0,0.0,0.0,,constant
connected_component_count,12,0,0.0,0.0,0.0,constant
largest_component_fraction,12,0,0.0,0.0,0.0,constant
voxel_spacing_mm_x,12,0,0.0,0.0,0.0,constant
voxel_spacing_mm_y,12,0,0.0,0.0,0.0,constant
voxel_spacing_mm_z,12,0,0.0,0.0,0.0,constant
voxel_volume_mm3,12,0,0.0,0.0,0.0,constant
