metric,real_n,synthetic_n,real_median,synthetic_median,median_diff_synthetic_minus_real,median_ratio_synthetic_over_real,real_p25,real_p75,synthetic_p25,synthetic_p75,ks_statistic,ks_pvalue,cliffs_delta_synthetic_vs_real
volume_mm3,261,261,270.375,267.0,-3.375,0.9875173370319001,78.5,1120.25,77.0,1091.0,0.02681992337164751,0.9999856555980297,0.0012330999251332188
equivalent_sphere_diameter_mm,261,261,8.02273850082748,7.989216918353326,-0.03352158247415371,0.9958216782871963,5.312394823130951,12.885623669416775,5.278340074235308,12.772484258087704,0.02681992337164751,0.9999856555980297,0.0012330999251332188
max_diameter_bbox_mm,261,261,12.5,9.0,-3.5,0.72,7.0,18.5,6.0,16.0,0.19157088122605365,0.00013286307231245146,-0.21511721789169272
principal_axis_length_major_mm,261,261,12.42372607481692,8.56099954981303,-3.8627265250038896,0.6890846995706309,7.287081707348225,19.046228120440613,5.070156669292581,16.90486971619779,0.20689655172413793,2.6495768981807897e-05,-0.23107411811335712
principal_axis_length_minor1_mm,261,261,7.794821131844543,7.071067811865488,-0.7237533199790551,0.9071494640175549,5.344685066901789,14.191407414047983,4.502837542171857,10.742692487109466,0.18007662835249041,0.0004095959137802458,-0.18365849003978216
principal_axis_length_minor2_mm,261,261,6.2942477403246,6.569106235015656,0.27485849469105617,1.043668204054021,4.289907778785835,11.497210607745933,4.130187540322716,10.604785440348618,0.09195402298850575,0.2200461448565086,-0.029667797008264704
elongation,261,261,1.3773804920686294,1.2159898524872208,-0.16139063958140865,0.8828278456746379,1.205761732884954,1.728630846189646,1.1386901464379695,1.5084110853359194,0.3218390804597701,2.3563031388130993e-12,-0.3278431027142878
aspect_ratio_major_to_minor2,261,261,1.7303562173381866,1.2519649401163886,-0.478391277221798,0.7235301769495133,1.4705314169323922,2.2322662129173416,1.1835077647239167,1.5174529401619854,0.5977011494252874,1.1523573885320606e-43,-0.7256352666578588
flatness,261,261,0.8221769579887312,0.9874896175784712,0.16531265958973995,1.201067006297695,0.7504626927426623,0.8735233594072677,0.9693266502813068,0.9949571182976176,0.8390804597701149,7.565648887812376e-94,0.9450976938095448
bbox_fill_fraction,261,261,0.3746753246753246,0.4814814814814814,0.1068061568061568,1.2850632261377495,0.3319213275353626,0.4321428571428571,0.434402332361516,0.5485185185185185,0.5670498084291188,4.772939549592593e-39,0.6981547540406042
surface_area_mm2,261,261,277.43496648916175,218.955078125,-58.47988836416175,0.7892122643940546,120.40783669234926,728.480165216265,92.57115173339844,601.278076171875,0.10727969348659004,0.09918127382464491,-0.11046520162651752
sphericity,261,261,0.727278674834801,0.9211140404905424,0.19383536565574133,1.2665214481914657,0.6790109243482736,0.7798356476622476,0.8539653205369778,0.9521149655214324,0.8888888888888888,1.3876365356080584e-108,0.9398716988887421
surface_to_volume_ratio,261,261,1.0456119077795971,0.8083106939741176,-0.23730121380547953,0.773050390838223,0.6725991823259592,1.4448096438195992,0.5511256426873281,1.2108158656529018,0.20689655172413793,2.6495768981807897e-05,-0.2481613599330603
roughness_index,261,261,1.3749887554824107,1.0856419032191136,-0.28934685226329715,0.7895642047183283,1.2823214776058909,1.4727303554943791,1.050293332436323,1.1710077399527123,0.8888888888888888,1.3876365356080584e-108,-0.9398716988887421
