case_id,seg_path,target_volume_mm3,realized_volume_mm3,volume_error_mm3,volume_error_fraction,n_calibration_iters,final_linear_scale_vox,rotation_z_deg,rotation_y_deg,rotation_x_deg,seed,original_seg_path,local_mask_exists
57_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_0_0_synthetic_lollipop.nii.gz,101.125,104.0,2.875,0.0284301606922126,4,8.916082483622493,58,26,2,2457441335,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/57_0_0_synthetic_lollipop.nii.gz,True
57_1_208,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_1_208_synthetic_lollipop.nii.gz,38.125,39.0,0.875,0.0229508196721311,7,6.771744823892471,94,55,107,3331333347,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/57_1_208_synthetic_lollipop.nii.gz,True
57_2_572,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_2_572_synthetic_lollipop.nii.gz,40.25,41.0,0.75,0.0186335403726708,5,6.82794887083642,124,28,25,3791086040,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/57_2_572_synthetic_lollipop.nii.gz,True
58_1_214,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/58_1_214_synthetic_lollipop.nii.gz,99.25,102.0,2.75,0.0277078085642317,2,9.588465018088083,2,172,176,3266480050,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/58_1_214_synthetic_lollipop.nii.gz,True
69_1_106,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_1_106_synthetic_lollipop.nii.gz,302.75,300.0,-2.75,0.0090834021469859,3,11.794820417993623,74,154,29,390146563,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/69_1_106_synthetic_lollipop.nii.gz,True
69_2_469,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_2_469_synthetic_lollipop.nii.gz,528.125,528.0,-0.125,0.0002366863905325,5,12.500266249046083,54,63,158,1129172539,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/69_2_469_synthetic_lollipop.nii.gz,True
74_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_0_0_synthetic_lollipop.nii.gz,159.75,164.0,4.25,0.0266040688575899,13,10.239145305891062,84,172,94,652827269,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/74_0_0_synthetic_lollipop.nii.gz,True
74_2_1367,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_2_1367_synthetic_lollipop.nii.gz,1037.375,1056.0,18.625,0.0179539703578744,6,13.991057346181233,74,160,54,3096794817,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/74_2_1367_synthetic_lollipop.nii.gz,True
80_1_106,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_1_106_synthetic_lollipop.nii.gz,175.375,177.0,1.625,0.0092658588738417,7,10.822152012158677,79,86,165,2941405288,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/80_1_106_synthetic_lollipop.nii.gz,True
80_2_294,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_2_294_synthetic_lollipop.nii.gz,105.375,105.0,-0.375,0.0035587188612099,5,9.410531685963935,3,2,29,555765711,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/80_2_294_synthetic_lollipop.nii.gz,True
80_3_661,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_3_661_synthetic_lollipop.nii.gz,228.125,228.0,-0.125,0.0005479452054794,5,11.21326083581002,65,150,43,150101700,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/80_3_661_synthetic_lollipop.nii.gz,True
87_1_1322,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/87_1_1322_synthetic_lollipop.nii.gz,131.0,128.0,-3.0,0.0229007633587786,6,10.318311653303654,63,71,57,809897508,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/87_1_1322_synthetic_lollipop.nii.gz,True
87_3_1668,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/87_3_1668_synthetic_lollipop.nii.gz,227.25,226.0,-1.25,0.0055005500550055,5,11.198905877568542,176,83,74,398666123,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/87_3_1668_synthetic_lollipop.nii.gz,True
87_4_1793,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/87_4_1793_synthetic_lollipop.nii.gz,260.5,267.0,6.5,0.0249520153550863,6,11.469435639482864,71,44,178,3725311528,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/87_4_1793_synthetic_lollipop.nii.gz,True
91_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/91_0_0_synthetic_lollipop.nii.gz,16.375,14.0,-2.375,0.1450381679389313,14,5.009458921101343,119,152,114,1378757035,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/91_0_0_synthetic_lollipop.nii.gz,True
91_1_318,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/91_1_318_synthetic_lollipop.nii.gz,79.25,78.0,-1.25,0.0157728706624605,2,8.895533645002445,104,89,119,4290255765,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/91_1_318_synthetic_lollipop.nii.gz,True
95_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/95_0_0_synthetic_lollipop.nii.gz,30.375,32.0,1.625,0.0534979423868312,14,6.216420648527029,179,150,107,2501031446,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/95_0_0_synthetic_lollipop.nii.gz,True
95_1_182,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/95_1_182_synthetic_lollipop.nii.gz,48.25,48.0,-0.25,0.005181347150259,6,8.254790674070428,50,85,103,3936196865,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/95_1_182_synthetic_lollipop.nii.gz,True
95_2_574,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/95_2_574_synthetic_lollipop.nii.gz,82.25,80.0,-2.25,0.0273556231003039,5,8.664568397012065,165,159,30,3638685953,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/95_2_574_synthetic_lollipop.nii.gz,True
126_1_312,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_1_312_synthetic_lollipop.nii.gz,192.25,198.0,5.75,0.0299089726918075,7,10.478226310357664,4,88,129,2180589568,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/126_1_312_synthetic_lollipop.nii.gz,True
126_2_582,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_2_582_synthetic_lollipop.nii.gz,308.5,307.0,-1.5,0.0048622366288492,3,11.86902392050557,77,107,170,3350434852,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/126_2_582_synthetic_lollipop.nii.gz,True
126_3_921,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_3_921_synthetic_lollipop.nii.gz,488.0,482.0,-6.0,0.0122950819672131,5,12.914788034502845,120,21,6,4185988954,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/126_3_921_synthetic_lollipop.nii.gz,True
126_4_1231,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_4_1231_synthetic_lollipop.nii.gz,847.0,855.0,8.0,0.0094451003541912,4,13.298916082059524,66,135,112,1952712548,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/126_4_1231_synthetic_lollipop.nii.gz,True
126_5_1607,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/126_5_1607_synthetic_lollipop.nii.gz,3320.375,3396.0,75.625,0.0227760418627414,4,20.969310663799796,108,122,1,2386771635,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/126_5_1607_synthetic_lollipop.nii.gz,True
132_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_0_0_synthetic_lollipop.nii.gz,7679.75,7674.0,-5.75,0.000748722289137,4,27.73133664543247,126,149,128,1451925654,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/132_0_0_synthetic_lollipop.nii.gz,True
132_1_148,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_1_148_synthetic_lollipop.nii.gz,10363.5,10057.0,-306.5,0.0295749505475949,5,29.620943529531413,76,154,82,1530397573,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/132_1_148_synthetic_lollipop.nii.gz,True
132_2_232,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/132_2_232_synthetic_lollipop.nii.gz,8729.25,8812.0,82.75,0.0094796231062233,5,27.974073704518972,35,170,53,2122148134,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/132_2_232_synthetic_lollipop.nii.gz,True
137_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/137_0_0_synthetic_lollipop.nii.gz,88.875,91.0,2.125,0.0239099859353023,9,8.825454359139375,116,109,115,3927507831,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/137_0_0_synthetic_lollipop.nii.gz,True
137_1_571,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/137_1_571_synthetic_lollipop.nii.gz,117.875,117.0,-0.875,0.0074231177094379,7,10.05786321308194,24,80,3,662940106,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/137_1_571_synthetic_lollipop.nii.gz,True
