case_id,seg_path,failed,failure_reason,voxel_volume_mm3,mask_voxel_count,volume_mm3,connected_component_count,largest_component_voxel_count,largest_component_fraction,component_volume_fraction_largest,component_volume_fraction_second_largest,equivalent_sphere_diameter_mm,max_diameter_bbox_mm,bbox_volume_mm3,bbox_fill_fraction,principal_axis_length_major_mm,principal_axis_length_minor1_mm,principal_axis_length_minor2_mm,principal_axis_sign_aligned,flatness,aspect_ratio_major_to_minor2,elongation_legacy_major_to_minor2,elongation,secondary_axis_ratio,surface_area_mm2,sphericity,compactness,surface_to_volume_ratio,roughness_index,empty_mask,multiple_components,tiny_component_fraction,surface_area_failed,principal_axis_failed,voxel_spacing_mm_x,voxel_spacing_mm_y,voxel_spacing_mm_z,centroid_vox_x,centroid_vox_y,centroid_vox_z,centroid_mm_x,centroid_mm_y,centroid_mm_z,bounding_box_min_vox_x,bounding_box_min_vox_y,bounding_box_min_vox_z,bounding_box_max_vox_x,bounding_box_max_vox_y,bounding_box_max_vox_z,bounding_box_size_vox_x,bounding_box_size_vox_y,bounding_box_size_vox_z,bounding_box_size_mm_x,bounding_box_size_mm_y,bounding_box_size_mm_z,principal_axis_vector_vox_x,principal_axis_vector_vox_y,principal_axis_vector_vox_z,principal_axis_vector_mm_x,principal_axis_vector_mm_y,principal_axis_vector_mm_z,principal_axis_lengths_mm_x,principal_axis_lengths_mm_y,principal_axis_lengths_mm_z
57_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_0_0_synthetic_lollipop.nii.gz,False,,1.0,104,104.0,1,104,1.0,1.0,0.0,5.834606511185437,6.0,180.0,0.5777777777777777,5.376333594282634,5.376333594282634,4.0,False,0.987868886380605,1.1335362432184326,1.1335362432184326,1.1197851862602477,0.8930284239066469,111.33536529541016,0.960594020586915,127.59472980799144,1.070532358609713,1.0410225116631564,False,False,False,False,False,1.0,1.0,1.0,52.80769230769231,53.0,52.57692307692308,52.80769230769231,53.0,52.57692307692308,50.0,51.0,50.0,55.0,55.0,55.0,6.0,5.0,6.0,6.0,5.0,6.0,-0.3176297563592856,0.0,-0.9482148163128126,-0.3176297563592856,0.0,-0.9482148163128126,5.65114929594898,5.046636949022475,4.985415622798047
57_1_208,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_1_208_synthetic_lollipop.nii.gz,False,,1.0,39,39.0,1,39,1.0,1.0,0.0,4.207479366835002,4.0,64.0,0.609375,3.8666123650759476,3.3738654967112467,3.3426710888985776,False,0.9494169820086434,1.2221720459987324,1.2221720459987324,1.1603508954074455,0.8618082719269675,56.84814453125,0.9783124225477688,120.78685372685966,1.4576447315705128,1.0221683553764465,False,False,False,False,False,1.0,1.0,1.0,43.61538461538461,44.282051282051285,44.15384615384615,43.61538461538461,44.282051282051285,44.15384615384615,42.0,43.0,43.0,45.0,46.0,46.0,4.0,4.0,4.0,4.0,4.0,4.0,-0.822791716356295,0.5478398848298749,0.15127872317365645,-0.822791716356295,0.5478398848298749,0.15127872317365645,4.264881679681143,3.675510310338989,3.489591906183695
57_2_572,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_2_572_synthetic_lollipop.nii.gz,False,,1.0,41,41.0,1,41,1.0,1.0,0.0,4.278206515598402,4.0,64.0,0.640625,4.058103830263347,3.67338189780535,2.8284271247461916,False,0.9013873788710653,1.2237993512952248,1.2237993512952248,1.1031172895281127,0.9065219170191559,57.87479019165039,0.9935367426541492,115.31892238874602,1.4115802485768387,1.0065053027919075,False,False,False,False,False,1.0,1.0,1.0,43.73170731707317,44.26829268292683,43.609756097560975,43.73170731707317,44.26829268292683,43.609756097560975,42.0,43.0,42.0,45.0,46.0,45.0,4.0,4.0,4.0,4.0,4.0,4.0,0.5684213346943994,-0.5684213346943982,0.5948061638285844,0.5684213346943994,-0.5684213346943982,0.5948061638285844,4.239365309426323,3.843077567245657,3.4641016151377535
58_1_214,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/58_1_214_synthetic_lollipop.nii.gz,False,,1.0,102,102.0,1,102,1.0,1.0,0.0,5.796962840557109,6.0,150.0,0.68,5.0,4.0,4.0,False,1.0,1.2122683673983226,1.2122683673983226,1.2122683673983226,0.8248998545974794,106.98542785644531,0.986793494728319,117.6992078763685,1.0488767436906403,1.0133832512498646,False,False,False,False,False,1.0,1.0,1.0,55.0,55.0,54.5,55.0,55.0,54.5,53.0,53.0,52.0,57.0,57.0,57.0,5.0,5.0,6.0,5.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,5.86987610981309,4.842059949490036,4.842059949490036
69_1_106,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_1_106_synthetic_lollipop.nii.gz,False,,1.0,300,300.0,1,300,1.0,1.0,0.0,8.305661184154147,9.0,576.0,0.5208333333333334,8.658947495006416,7.071067811865488,7.058124313950739,False,0.9876853919107198,1.2042794271502484,1.2042794271502484,1.1894491979749102,0.8407252715816229,236.27557373046875,0.9172325704368566,146.55949833941744,0.7875852457682292,1.0902360341649482,False,False,False,False,False,1.0,1.0,1.0,63.556666666666665,63.556666666666665,64.78333333333333,63.556666666666665,63.556666666666665,64.78333333333333,60.0,60.0,61.0,67.0,67.0,69.0,8.0,8.0,9.0,8.0,8.0,9.0,-0.44091587823266876,-0.4409158782326673,0.7817840984854004,-0.44091587823266876,-0.4409158782326673,0.7817840984854004,8.390962288722818,7.054494049017648,6.967620719535836
69_2_469,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_2_469_synthetic_lollipop.nii.gz,False,,1.0,528,528.0,1,528,1.0,1.0,0.0,10.027940922541108,12.0,1080.0,0.4888888888888889,12.403619109305511,8.724383283770658,8.455296321318427,False,0.9864363899542382,1.360116506384834,1.360116506384834,1.3416684164754262,0.7453406428296255,355.5905456542969,0.8884299703290234,161.2808380923528,0.6734669425270774,1.1255811188243205,False,False,False,False,False,1.0,1.0,1.0,65.75568181818181,67.20643939393939,67.54924242424242,65.75568181818181,67.20643939393939,67.54924242424242,61.0,63.0,63.0,72.0,71.0,72.0,12.0,9.0,10.0,12.0,9.0,10.0,-0.896881785092233,0.15662852201276845,0.4136067814505286,-0.896881785092233,0.15662852201276845,0.4136067814505286,11.007131348051068,8.204062354666506,8.092785652096696
74_0_0,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_0_0_synthetic_lollipop.nii.gz,False,,1.0,164,164.0,1,164,1.0,1.0,0.0,6.791229523398109,8.0,392.0,0.41836734693877553,7.050313382811698,6.200149037777191,5.900623643618465,False,0.9962185427150811,1.1711062654647562,1.1711062654647562,1.1666777771458003,0.8571346944195968,162.37014770507812,0.8923608409738233,159.1588751621488,0.9900618762504764,1.1206229073305272,False,False,False,False,False,1.0,1.0,1.0,57.920731707317074,57.3719512195122,57.957317073170735,57.920731707317074,57.3719512195122,57.957317073170735,55.0,54.0,55.0,61.0,61.0,61.0,7.0,8.0,7.0,7.0,8.0,7.0,0.08558957573853647,0.9949605438675946,0.05222969147523142,0.08558957573853647,0.9949605438675946,0.05222969147523142,6.789307516981598,5.819351023888693,5.797345396565909
74_2_1367,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_2_1367_synthetic_lollipop.nii.gz,False,,1.0,1056,1056.0,1,1056,1.0,1.0,0.0,12.634413855411756,15.0,2340.0,0.4512820512820513,16.90486971619779,10.676344916083416,10.655999367698097,False,0.9933846391771873,1.5214679846351338,1.5214679846351338,1.5114029249364147,0.6616369357906796,592.46533203125,0.8464418489123188,186.49233729335734,0.5610467159386837,1.1814160668981621,False,False,False,False,False,1.0,1.0,1.0,72.34848484848484,71.50568181818181,74.07954545454545,72.34848484848484,71.50568181818181,74.07954545454545,67.0,65.0,68.0,78.0,79.0,80.0,12.0,15.0,13.0,12.0,15.0,13.0,-0.3323987922215308,-0.7668685432277182,0.5490206556564743,-0.33239879222153074,-0.7668685432277181,0.5490206556564742,15.024175214498584,9.94054925170312,9.874788931626163
80_1_106,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_1_106_synthetic_lollipop.nii.gz,False,,1.0,177,177.0,1,177,1.0,1.0,0.0,6.966129569086082,8.0,392.0,0.45153061224489793,7.0463091643562965,6.323479629039744,6.099279024891791,False,0.9899511004700294,1.1590061228358457,1.1590061228358457,1.1473593867528475,0.8715664956819756,166.06935119628906,0.9180016879988191,146.19143669454536,0.9382449220129325,1.0893226157131928,False,False,False,False,False,1.0,1.0,1.0,59.271186440677965,60.03954802259887,60.09604519774011,59.271186440677965,60.03954802259887,60.09604519774011,56.0,57.0,57.0,63.0,63.0,63.0,8.0,7.0,7.0,8.0,7.0,7.0,-0.9992072080632687,0.014968228075136935,0.036890479838278915,-0.9992072080632687,0.014968228075136935,0.036890479838278915,6.883324341929936,5.999274875338315,5.938988764863364
80_2_294,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_2_294_synthetic_lollipop.nii.gz,False,,1.0,105,105.0,1,105,1.0,1.0,0.0,5.853247553205011,6.0,180.0,0.5833333333333334,5.868428931047796,5.30540718658537,4.402678912568953,False,0.9682882349375321,1.1772103039498816,1.1772103039498816,1.1398788873619066,0.8772861846001578,112.26563262939453,0.9587311301279461,128.33995594065433,1.0691965012323288,1.043045300788915,False,False,False,False,False,1.0,1.0,1.0,54.97142857142857,55.24761904761905,54.56190476190476,54.97142857142857,55.24761904761905,54.56190476190476,53.0,53.0,52.0,57.0,58.0,57.0,5.0,6.0,6.0,5.0,6.0,6.0,-0.05632403529465664,0.46371091463629316,-0.8841944303688521,-0.05632403529465664,0.46371091463629316,-0.8841944303688521,5.776490206710039,5.067635053824827,4.906931401575608
