case_id,seg_path_pulled,failed_pulled,failure_reason_pulled,voxel_volume_mm3_pulled,mask_voxel_count_pulled,volume_mm3_pulled,connected_component_count_pulled,largest_component_voxel_count_pulled,largest_component_fraction_pulled,component_volume_fraction_largest_pulled,component_volume_fraction_second_largest_pulled,equivalent_sphere_diameter_mm_pulled,max_diameter_bbox_mm_pulled,bbox_volume_mm3_pulled,bbox_fill_fraction_pulled,principal_axis_length_major_mm_pulled,principal_axis_length_minor1_mm_pulled,principal_axis_length_minor2_mm_pulled,principal_axis_sign_aligned_pulled,flatness_pulled,aspect_ratio_major_to_minor2_pulled,elongation_legacy_major_to_minor2_pulled,elongation_pulled,secondary_axis_ratio_pulled,surface_area_mm2_pulled,sphericity_pulled,compactness_pulled,surface_to_volume_ratio_pulled,roughness_index_pulled,empty_mask_pulled,multiple_components_pulled,tiny_component_fraction_pulled,surface_area_failed_pulled,principal_axis_failed_pulled,voxel_spacing_mm_x_pulled,voxel_spacing_mm_y_pulled,voxel_spacing_mm_z_pulled,centroid_vox_x_pulled,centroid_vox_y_pulled,centroid_vox_z_pulled,centroid_mm_x_pulled,centroid_mm_y_pulled,centroid_mm_z_pulled,bounding_box_min_vox_x_pulled,bounding_box_min_vox_y_pulled,bounding_box_min_vox_z_pulled,bounding_box_max_vox_x_pulled,bounding_box_max_vox_y_pulled,bounding_box_max_vox_z_pulled,bounding_box_size_vox_x_pulled,bounding_box_size_vox_y_pulled,bounding_box_size_vox_z_pulled,bounding_box_size_mm_x_pulled,bounding_box_size_mm_y_pulled,bounding_box_size_mm_z_pulled,principal_axis_vector_vox_x_pulled,principal_axis_vector_vox_y_pulled,principal_axis_vector_vox_z_pulled,principal_axis_vector_mm_x_pulled,principal_axis_vector_mm_y_pulled,principal_axis_vector_mm_z_pulled,principal_axis_lengths_mm_x_pulled,principal_axis_lengths_mm_y_pulled,principal_axis_lengths_mm_z_pulled,seg_path_local,failed_local,failure_reason_local,voxel_volume_mm3_local,mask_voxel_count_local,volume_mm3_local,connected_component_count_local,largest_component_voxel_count_local,largest_component_fraction_local,component_volume_fraction_largest_local,component_volume_fraction_second_largest_local,equivalent_sphere_diameter_mm_local,max_diameter_bbox_mm_local,bbox_volume_mm3_local,bbox_fill_fraction_local,principal_axis_length_major_mm_local,principal_axis_length_minor1_mm_local,principal_axis_length_minor2_mm_local,principal_axis_sign_aligned_local,flatness_local,aspect_ratio_major_to_minor2_local,elongation_legacy_major_to_minor2_local,elongation_local,secondary_axis_ratio_local,surface_area_mm2_local,sphericity_local,compactness_local,surface_to_volume_ratio_local,roughness_index_local,empty_mask_local,multiple_components_local,tiny_component_fraction_local,surface_area_failed_local,principal_axis_failed_local,voxel_spacing_mm_x_local,voxel_spacing_mm_y_local,voxel_spacing_mm_z_local,centroid_vox_x_local,centroid_vox_y_local,centroid_vox_z_local,centroid_mm_x_local,centroid_mm_y_local,centroid_mm_z_local,bounding_box_min_vox_x_local,bounding_box_min_vox_y_local,bounding_box_min_vox_z_local,bounding_box_max_vox_x_local,bounding_box_max_vox_y_local,bounding_box_max_vox_z_local,bounding_box_size_vox_x_local,bounding_box_size_vox_y_local,bounding_box_size_vox_z_local,bounding_box_size_mm_x_local,bounding_box_size_mm_y_local,bounding_box_size_mm_z_local,principal_axis_vector_vox_x_local,principal_axis_vector_vox_y_local,principal_axis_vector_vox_z_local,principal_axis_vector_mm_x_local,principal_axis_vector_mm_y_local,principal_axis_vector_mm_z_local,principal_axis_lengths_mm_x_local,principal_axis_lengths_mm_y_local,principal_axis_lengths_mm_z_local
57_0_0,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/57_0_0_synthetic_lollipop.nii.gz,False,,1.0,99,99.0,1,99,1.0,1.0,0.0,5.7395633987581025,12.0,672.0,0.1473214285714285,11.637736354675702,6.612358095728257,5.327695557446421,True,0.8506236915562853,2.709576636644527,2.709576636644527,2.3048300812172307,0.4338714633019186,161.7578582763672,0.6397970001586666,431.8428914465974,1.6339177603673454,1.562995762330872,False,False,False,False,False,1.0,1.0,1.0,48.27272727272727,48.0,47.77777777777778,48.27272727272727,48.0,47.77777777777778,41.0,44.0,45.0,52.0,51.0,51.0,12.0,8.0,7.0,12.0,8.0,7.0,0.8722141487956331,0.4859324777865618,0.0557862498553366,0.8722141487956331,0.4859324777865618,0.0557862498553366,12.1154314756183,5.256539982860636,4.471337445034126,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_0_0_synthetic_lollipop.nii.gz,False,,1.0,104,104.0,1,104,1.0,1.0,0.0,5.834606511185437,6.0,180.0,0.5777777777777777,5.376333594282634,5.376333594282634,4.0,False,0.987868886380605,1.1335362432184326,1.1335362432184326,1.1197851862602477,0.8930284239066469,111.33536529541016,0.960594020586915,127.59472980799144,1.070532358609713,1.0410225116631564,False,False,False,False,False,1.0,1.0,1.0,52.80769230769231,53.0,52.57692307692308,52.80769230769231,53.0,52.57692307692308,50.0,51.0,50.0,55.0,55.0,55.0,6.0,5.0,6.0,6.0,5.0,6.0,-0.3176297563592856,0.0,-0.9482148163128126,-0.3176297563592856,0.0,-0.9482148163128126,5.65114929594898,5.046636949022475,4.985415622798047
57_1_208,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/57_1_208_synthetic_lollipop.nii.gz,False,,1.0,46,46.0,1,46,1.0,1.0,0.0,4.445491011401585,6.0,180.0,0.2555555555555555,7.048819924578648,3.652334610017381,3.1605032315536237,True,0.9147815532467248,2.794129527581027,2.794129527581027,2.556018149213109,0.3912335287243004,79.95843505859375,0.7764706780505359,241.5890206464251,1.738226849099864,1.2878786389083914,False,False,False,False,False,1.0,1.0,1.0,47.78260869565217,47.97826086956522,47.71739130434783,47.78260869565217,47.97826086956522,47.71739130434783,45.0,46.0,45.0,50.0,50.0,50.0,6.0,5.0,6.0,6.0,5.0,6.0,0.6522895544570719,0.4325637189153694,0.622420248886795,0.6522895544570719,0.4325637189153694,0.622420248886795,8.331761027000452,3.259664267080988,2.9818807413031925,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_1_208_synthetic_lollipop.nii.gz,False,,1.0,39,39.0,1,39,1.0,1.0,0.0,4.207479366835002,4.0,64.0,0.609375,3.866612365075947,3.3738654967112467,3.3426710888985776,False,0.9494169820086434,1.2221720459987324,1.2221720459987324,1.1603508954074455,0.8618082719269675,56.84814453125,0.9783124225477688,120.78685372685966,1.4576447315705128,1.0221683553764465,False,False,False,False,False,1.0,1.0,1.0,43.61538461538461,44.282051282051285,44.15384615384615,43.61538461538461,44.282051282051285,44.15384615384615,42.0,43.0,43.0,45.0,46.0,46.0,4.0,4.0,4.0,4.0,4.0,4.0,-0.822791716356295,0.5478398848298749,0.1512787231736564,-0.822791716356295,0.5478398848298749,0.1512787231736564,4.264881679681143,3.675510310338989,3.489591906183695
57_2_572,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/57_2_572_synthetic_lollipop.nii.gz,False,,1.0,44,44.0,1,44,1.0,1.0,0.0,4.380106645730805,7.0,175.0,0.2514285714285714,6.997853406641818,3.5672736688965205,2.8656475633299916,True,0.922276011969248,2.483756585124252,2.483756585124252,2.2907091180307533,0.4365460425021867,80.14242553710938,0.7520673933104611,265.8778107487995,1.8214187622070312,1.329668070833633,False,False,False,False,False,1.0,1.0,1.0,47.93181818181818,47.97727272727273,48.11363636363637,47.93181818181818,47.97727272727273,48.11363636363637,46.0,46.0,46.0,50.0,50.0,52.0,5.0,5.0,7.0,5.0,5.0,7.0,-0.4173499244906903,-0.3076936171180707,0.8550693998222677,-0.4173499244906903,-0.3076936171180707,0.8550693998222677,7.604147941803949,3.3195606905956625,3.0615511952124503,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/57_2_572_synthetic_lollipop.nii.gz,False,,1.0,41,41.0,1,41,1.0,1.0,0.0,4.278206515598402,4.0,64.0,0.640625,4.058103830263347,3.67338189780535,2.8284271247461916,False,0.9013873788710652,1.2237993512952248,1.2237993512952248,1.1031172895281127,0.906521917019156,57.87479019165039,0.9935367426541492,115.31892238874602,1.4115802485768387,1.0065053027919075,False,False,False,False,False,1.0,1.0,1.0,43.73170731707317,44.26829268292683,43.609756097560975,43.73170731707317,44.26829268292683,43.609756097560975,42.0,43.0,42.0,45.0,46.0,45.0,4.0,4.0,4.0,4.0,4.0,4.0,0.5684213346943994,-0.5684213346943982,0.5948061638285844,0.5684213346943994,-0.5684213346943982,0.5948061638285844,4.239365309426323,3.843077567245657,3.4641016151377535
58_1_214,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/58_1_214_synthetic_lollipop.nii.gz,False,,1.0,96,96.0,1,96,1.0,1.0,0.0,5.680992338459954,11.0,396.0,0.2424242424242424,10.52827849322055,5.901253789195023,5.624111616023921,True,0.9610695346924631,2.5907710317704593,2.5907710317704593,2.4899111099983484,0.4016207630804392,156.71212768554688,0.6469871763083367,417.6046781790497,1.6324179967244463,1.5456256887592883,False,False,False,False,False,1.0,1.0,1.0,47.677083333333336,48.041666666666664,48.052083333333336,47.677083333333336,48.041666666666664,48.052083333333336,45.0,45.0,41.0,50.0,50.0,51.0,6.0,6.0,11.0,6.0,6.0,11.0,-0.0553734620420386,-0.2522937829626958,0.9660650220248382,-0.0553734620420386,-0.2522937829626958,0.966065022024838,11.910059532087576,4.783327197610471,4.597110044089299,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/58_1_214_synthetic_lollipop.nii.gz,False,,1.0,102,102.0,1,102,1.0,1.0,0.0,5.796962840557109,6.0,150.0,0.68,5.0,4.0,4.0,False,1.0,1.2122683673983226,1.2122683673983226,1.2122683673983226,0.8248998545974794,106.98542785644533,0.986793494728319,117.6992078763685,1.0488767436906403,1.0133832512498646,False,False,False,False,False,1.0,1.0,1.0,55.0,55.0,54.5,55.0,55.0,54.5,53.0,53.0,52.0,57.0,57.0,57.0,5.0,5.0,6.0,5.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,5.86987610981309,4.842059949490036,4.842059949490036
69_1_106,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/69_1_106_synthetic_lollipop.nii.gz,False,,1.0,307,307.0,1,307,1.0,1.0,0.0,8.369764743424398,17.0,1700.0,0.1805882352941176,17.00647967503841,9.403622507440009,8.59525817145516,True,0.9257270463836323,2.6549280802786104,2.6549280802786104,2.457738730117285,0.4068780736316424,353.37689208984375,0.6227851205575633,468.2067705892395,1.1510647950809243,1.6056902565442253,False,False,False,False,False,1.0,1.0,1.0,48.23778501628664,47.66123778501629,47.98045602605863,48.23778501628664,47.66123778501629,47.98045602605863,45.0,43.0,43.0,54.0,59.0,52.0,10.0,17.0,10.0,10.0,17.0,10.0,-0.2269130710895206,0.9302994808089052,0.2881897537654725,-0.2269130710895206,0.9302994808089052,0.2881897537654725,17.820086637227003,7.250602522903896,6.712078858029536,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_1_106_synthetic_lollipop.nii.gz,False,,1.0,300,300.0,1,300,1.0,1.0,0.0,8.305661184154147,9.0,576.0,0.5208333333333334,8.658947495006416,7.071067811865488,7.058124313950739,False,0.9876853919107198,1.2042794271502484,1.2042794271502484,1.1894491979749102,0.8407252715816229,236.27557373046875,0.9172325704368566,146.55949833941744,0.7875852457682292,1.0902360341649482,False,False,False,False,False,1.0,1.0,1.0,63.556666666666665,63.556666666666665,64.78333333333333,63.556666666666665,63.556666666666665,64.78333333333333,60.0,60.0,61.0,67.0,67.0,69.0,8.0,8.0,9.0,8.0,8.0,9.0,-0.4409158782326687,-0.4409158782326673,0.7817840984854004,-0.4409158782326687,-0.4409158782326673,0.7817840984854004,8.390962288722818,7.054494049017648,6.967620719535836
69_2_469,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/69_2_469_synthetic_lollipop.nii.gz,False,,1.0,533,533.0,1,533,1.0,1.0,0.0,10.05949538135948,20.0,3380.0,0.1576923076923077,21.286701101909426,12.005535657588354,10.721319012659867,True,0.9087890542273565,2.766880552296075,2.766880552296075,2.514510760281216,0.3976916765662052,535.3221435546875,0.5938640770672956,539.9968256831003,1.0043567421288695,1.6838870014471037,False,False,False,False,False,1.0,1.0,1.0,48.11444652908067,48.08067542213884,48.52720450281426,48.11444652908067,48.08067542213884,48.52720450281426,35.0,42.0,43.0,54.0,54.0,55.0,20.0,13.0,13.0,20.0,13.0,13.0,0.8572368206892208,0.3439737836653792,0.3831802048717544,0.8572368206892208,0.3439737836653792,0.3831802048717544,22.21010613408117,8.832774345176098,8.027128643356244,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/69_2_469_synthetic_lollipop.nii.gz,False,,1.0,528,528.0,1,528,1.0,1.0,0.0,10.027940922541108,12.0,1080.0,0.4888888888888889,12.403619109305511,8.724383283770658,8.455296321318427,False,0.9864363899542382,1.360116506384834,1.360116506384834,1.3416684164754262,0.7453406428296255,355.5905456542969,0.8884299703290234,161.2808380923528,0.6734669425270774,1.1255811188243203,False,False,False,False,False,1.0,1.0,1.0,65.75568181818181,67.20643939393939,67.54924242424242,65.75568181818181,67.20643939393939,67.54924242424242,61.0,63.0,63.0,72.0,71.0,72.0,12.0,9.0,10.0,12.0,9.0,10.0,-0.896881785092233,0.1566285220127684,0.4136067814505286,-0.896881785092233,0.1566285220127684,0.4136067814505286,11.007131348051068,8.204062354666506,8.092785652096696
74_0_0,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/74_0_0_synthetic_lollipop.nii.gz,False,,1.0,163,163.0,1,163,1.0,1.0,0.0,6.777398060419335,14.0,1008.0,0.1617063492063492,13.889615923896844,7.581289109797151,6.981220283035441,True,0.8772796440450058,2.718252288971472,2.718252288971472,2.384667400493415,0.4193456914759217,235.43161010742188,0.6129302956539028,491.1556105794873,1.4443657061805022,1.631506889267324,False,False,False,False,False,1.0,1.0,1.0,48.17791411042945,47.92638036809816,48.32515337423313,48.17791411042945,47.92638036809816,48.32515337423313,39.0,44.0,45.0,52.0,51.0,53.0,14.0,8.0,9.0,14.0,8.0,9.0,0.913308274061728,-0.1967408193030063,0.3565964757963399,0.913308274061728,-0.1967408193030063,0.3565964757963399,14.710138972668364,6.1686333992005205,5.411616512694767,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_0_0_synthetic_lollipop.nii.gz,False,,1.0,164,164.0,1,164,1.0,1.0,0.0,6.791229523398109,8.0,392.0,0.4183673469387755,7.050313382811698,6.200149037777191,5.900623643618465,False,0.9962185427150811,1.1711062654647562,1.1711062654647562,1.1666777771458003,0.8571346944195968,162.37014770507812,0.8923608409738233,159.1588751621488,0.9900618762504764,1.1206229073305272,False,False,False,False,False,1.0,1.0,1.0,57.920731707317074,57.3719512195122,57.957317073170735,57.920731707317074,57.3719512195122,57.957317073170735,55.0,54.0,55.0,61.0,61.0,61.0,7.0,8.0,7.0,7.0,8.0,7.0,0.0855895757385364,0.9949605438675946,0.0522296914752314,0.0855895757385364,0.9949605438675946,0.0522296914752314,6.789307516981598,5.819351023888693,5.797345396565909
74_2_1367,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/74_2_1367_synthetic_lollipop.nii.gz,False,,1.0,1085,1085.0,1,1085,1.0,1.0,0.0,12.749026933928173,27.0,6075.0,0.1786008230452674,26.359667393355963,15.20821349511165,13.89234992098725,True,0.936736669300551,2.6991897565001453,2.6991897565001453,2.528430022314111,0.395502343816011,858.1940307617188,0.5950020479068446,536.9044356840053,0.7909622403333814,1.680666484288409,False,False,False,False,False,1.0,1.0,1.0,48.363133640552995,47.66451612903226,47.866359447004605,48.363133640552995,47.66451612903226,47.866359447004605,30.0,40.0,41.0,56.0,54.0,55.0,27.0,15.0,15.0,27.0,15.0,15.0,0.9828067289209148,-0.178964031316308,0.0454181580734746,0.9828067289209148,-0.178964031316308,0.0454181580734746,27.913356828427418,11.0397980494157,10.34138365456038,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/74_2_1367_synthetic_lollipop.nii.gz,False,,1.0,1056,1056.0,1,1056,1.0,1.0,0.0,12.634413855411756,15.0,2340.0,0.4512820512820513,16.90486971619779,10.676344916083416,10.655999367698096,False,0.9933846391771872,1.5214679846351338,1.5214679846351338,1.5114029249364147,0.6616369357906796,592.46533203125,0.8464418489123188,186.49233729335737,0.5610467159386837,1.181416066898162,False,False,False,False,False,1.0,1.0,1.0,72.34848484848484,71.50568181818181,74.07954545454545,72.34848484848484,71.50568181818181,74.07954545454545,67.0,65.0,68.0,78.0,79.0,80.0,12.0,15.0,13.0,12.0,15.0,13.0,-0.3323987922215308,-0.7668685432277182,0.5490206556564743,-0.3323987922215307,-0.7668685432277181,0.5490206556564742,15.024175214498584,9.94054925170312,9.874788931626163
80_1_106,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/80_1_106_synthetic_lollipop.nii.gz,False,,1.0,175,175.0,1,175,1.0,1.0,0.0,6.939792343839249,14.0,1120.0,0.15625,14.211391476052448,7.873462611066563,6.530593392750311,True,0.8616359066120426,2.936555212473919,2.936555212473919,2.5302414128162845,0.3952192051457059,241.8658447265625,0.6255590049372973,462.0059120185955,1.382090541294643,1.5985702261615349,False,False,False,False,False,1.0,1.0,1.0,47.97142857142857,48.44,48.04,47.97142857142857,48.44,48.04,39.0,44.0,44.0,52.0,53.0,51.0,14.0,10.0,8.0,14.0,10.0,8.0,-0.8621892263724964,-0.4494977639989511,0.2336268351177567,-0.8621892263724963,-0.449497763998951,0.2336268351177567,15.5486432187504,6.145122414008704,5.2948581224363735,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_1_106_synthetic_lollipop.nii.gz,False,,1.0,177,177.0,1,177,1.0,1.0,0.0,6.966129569086082,8.0,392.0,0.4515306122448979,7.0463091643562965,6.323479629039744,6.099279024891791,False,0.9899511004700294,1.1590061228358457,1.1590061228358457,1.1473593867528475,0.8715664956819756,166.06935119628906,0.9180016879988192,146.19143669454536,0.9382449220129324,1.0893226157131928,False,False,False,False,False,1.0,1.0,1.0,59.271186440677965,60.03954802259887,60.09604519774011,59.271186440677965,60.03954802259887,60.09604519774011,56.0,57.0,57.0,63.0,63.0,63.0,8.0,7.0,7.0,8.0,7.0,7.0,-0.9992072080632688,0.0149682280751369,0.0368904798382789,-0.9992072080632688,0.0149682280751369,0.0368904798382789,6.883324341929936,5.999274875338315,5.938988764863364
80_2_294,/sfs/ceph/standard/gam_ai_group/people_scratch/ethan hirai/GrowthNet/analysis/synthetic_lollipop_v1/masks/80_2_294_synthetic_lollipop.nii.gz,False,,1.0,101,101.0,1,101,1.0,1.0,0.0,5.777956268578565,11.0,891.0,0.1133557800224466,11.167510701907434,6.258387229967235,5.619343619714893,True,0.8652378073933505,2.7408835150449917,2.7408835150449917,2.3715160428781084,0.4216711934136379,161.70326232910156,0.6486039540051783,414.48956155703746,1.6010223992980352,1.5417729013597967,False,False,False,False,False,1.0,1.0,1.0,47.97029702970297,47.801980198019805,48.18811881188119,47.97029702970297,47.801980198019805,48.18811881188119,44.0,44.0,42.0,52.0,52.0,52.0,9.0,9.0,11.0,9.0,9.0,11.0,0.3984468951548646,-0.4624443931128306,0.7920765461872699,0.3984468951548645,-0.4624443931128306,0.7920765461872697,12.353567775434778,5.209143666783842,4.50714804464501,/Users/kvothearcane/Personal/Coding Projects/GrowthNet/rivanna_pull/analysis/synthetic_lollipop_v1/masks/80_2_294_synthetic_lollipop.nii.gz,False,,1.0,105,105.0,1,105,1.0,1.0,0.0,5.853247553205011,6.0,180.0,0.5833333333333334,5.868428931047796,5.30540718658537,4.402678912568953,False,0.968288234937532,1.1772103039498816,1.1772103039498816,1.1398788873619066,0.8772861846001578,112.26563262939452,0.958731130127946,128.3399559406543,1.0691965012323288,1.043045300788915,False,False,False,False,False,1.0,1.0,1.0,54.97142857142857,55.24761904761905,54.56190476190476,54.97142857142857,55.24761904761905,54.56190476190476,53.0,53.0,52.0,57.0,58.0,57.0,5.0,6.0,6.0,5.0,6.0,6.0,-0.0563240352946566,0.4637109146362931,-0.8841944303688521,-0.0563240352946566,0.4637109146362931,-0.8841944303688521,5.776490206710039,5.067635053824827,4.906931401575608
