metric,n,median_abs_diff,max_abs_diff,changed_gt_1e_minus_9,pulled_median,local_reextracted_median
volume_mm3,261,8.0,211.0,252,262.0,267.0
equivalent_sphere_diameter_mm,261,0.07441278328179379,1.8313077074718072,252,7.93903207074245,7.989216918353326
max_diameter_bbox_mm,261,7.0,24.0,261,16.0,9.0
principal_axis_length_major_mm,261,7.586437215884416,21.004566742660643,261,16.3883094995351,8.56099954981303
principal_axis_length_minor1_mm,261,2.2087151910694374,10.211032175733983,261,9.231306294254484,7.071067811865488
principal_axis_length_minor2_mm,261,1.5766372942101743,6.493630643006938,261,8.284872155664369,6.569106235015656
elongation,261,1.2048367666910154,1.8483731624762603,261,2.46585292386996,1.2159898524872208
aspect_ratio_major_to_minor2,261,1.4240100001736042,2.049703198024967,261,2.7292209383548967,1.2519649401163886
flatness,261,0.08002114037484342,0.1950647748285802,261,0.9015772778718334,0.9874896175784712
bbox_fill_fraction,261,0.31076567427670376,0.6431746031746032,261,0.1703296703296703,0.4814814814814814
surface_area_mm2,261,112.07366943359375,1189.150390625,261,325.4766845703125,218.955078125
sphericity,261,0.25786933601227313,0.35666972817710363,261,0.6136345928761562,0.9211140404905424
surface_to_volume_ratio,261,0.31762257640234537,0.6272232334575669,261,1.2317342606801835,0.8083106939741176
roughness_index,261,0.49182702866885797,0.6126014716866326,261,1.629634332238209,1.0856419032191136
